cgroup,commoditycode,pci,exp_share
Core countries,1519,-0.113031684705882,0.000550447097280636
Periphery countries,1519,-0.113031684705882,0.000189122357078949
Core countries,1520,-0.518436337,0.00010101445622166
Periphery countries,1520,-0.518436337,4.96014696699133e-05
Core countries,1521,-1.77492663529412,6.76211504642449e-06
Periphery countries,1521,-1.77492663529412,4.27396381120886e-06
Core countries,1522,-0.683829835882353,1.01468118638561e-05
Periphery countries,1522,-0.683829835882353,1.38880734193873e-05
Core countries,1601,0.183507820088235,0.000398822520694063
Periphery countries,1601,0.183507820088235,0.000697587781025352
Core countries,1602,0.02266233,0.000873016708250543
Periphery countries,1602,0.02266233,0.00135560777877904
Core countries,1603,-0.321086873176471,6.59687783128677e-06
Periphery countries,1603,-0.321086873176471,1.32097442066581e-05
Core countries,1604,-1.40979859411765,0.000259311913506888
Periphery countries,1604,-1.40979859411765,0.00139219166376737
Core countries,1605,-1.40685117647059,0.000204380060502689
Periphery countries,1605,-1.40685117647059,0.000267451735347544
Core countries,1701,-1.55163048823529,0.000676892318819038
Periphery countries,1701,-1.55163048823529,0.000868157453380772
Core countries,1702,0.119625449411765,0.000542032153412209
Periphery countries,1702,0.119625449411765,0.000166830103521543
Core countries,1703,-1.41903895294118,2.81421107972061e-05
Periphery countries,1703,-1.41903895294118,3.82457086025956e-05
Core countries,1704,-0.666881414117647,0.000742001193454339
Periphery countries,1704,-0.666881414117647,0.000896347656388948
Core countries,1801,-2.73574187647059,0.000210273688176687
Periphery countries,1801,-2.73574187647059,5.57560635588063e-06
Core countries,1802,-2.35411701176471,4.48978628731013e-06
Periphery countries,1802,-2.35411701176471,1.95463104805695e-06
Core countries,1803,-0.922147429411765,0.000201035500459218
Periphery countries,1803,-0.922147429411765,1.98355924278077e-05
Core countries,1804,-1.47996479411765,0.000433324004849441
Periphery countries,1804,-1.47996479411765,4.62858282675291e-05
Core countries,1805,-0.849687194705883,0.000272556295569864
Periphery countries,1805,-0.849687194705883,0.000100039611588272
Core countries,1806,0.242846609058824,0.00285842190828325
Periphery countries,1806,0.242846609058824,0.00135688839228583
Core countries,1901,-0.0507348675294118,0.00111705426212383
Periphery countries,1901,-0.0507348675294118,0.00242389025909552
Core countries,1902,-1.08355462764706,0.000579451731468136
Periphery countries,1902,-1.08355462764706,0.00145543057008356
Core countries,1903,-1.38087354705882,1.23154510246799e-06
Periphery countries,1903,-1.38087354705882,1.14252309537785e-06
Core countries,1904,-0.206803907823529,0.000263723165117733
Periphery countries,1904,-0.206803907823529,0.000320448177904262
Core countries,1905,-0.332847155882353,0.00263771528316279
Periphery countries,1905,-0.332847155882353,0.00279957571070047
Core countries,2001,-0.910558282941176,9.29305435617673e-05
Periphery countries,2001,-0.910558282941176,0.000596594935014439
Core countries,2002,-1.22180917352941,2.93373066490925e-05
Periphery countries,2002,-1.22180917352941,0.0022212463037475
Core countries,2003,-0.231797673470588,0.00010401221070436
Periphery countries,2003,-0.231797673470588,9.19668450273456e-05
Core countries,2004,0.29670318,0.000986649148825065
Periphery countries,2004,0.29670318,0.000119501627065203
Core countries,2005,-0.950322935294118,0.000542829149636653
Periphery countries,2005,-0.950322935294118,0.00349006547691494
Core countries,2006,-0.639477740588235,1.01646934654837e-05
Periphery countries,2006,-0.639477740588235,6.91020796893535e-05
Core countries,2007,-0.612850317058824,0.000183882886642039
Periphery countries,2007,-0.612850317058824,0.00042498062117798
