"","year","ccode","Exports","ULC_index","GDP_pc_PPP","OECD_GERD","Wages","pop","TECH","eci_rank","eci_rank_normed","RULC","GERD_pc","ULCGR","rel_ULCGR","EXP","EXPGR","eciGR","eci_rank_change","eci_rank_normed_change","world_GDPg","CAP.ACCU","TOT","HC","TAXBURDEN","real_gdp","gdp_growth","REER","INFLATION","PART.GROWTH","PRIMARY"
"17",1986,"AUS",22.63,52.5616,14816.75295,5106.087688,NA,16.047026,0.267167528,90,0.524064171,67.22668,318.195264842221,0.0647356159224986,-0.132311984546827,1.46856505035822,-14.4208893367549,-171.087153042533,4,-0.021390374,3.361494023,7.492969754,45.06632933,3.330570698,28.489,385013,0.0296561031306172,NA,9.084531744,0.0756217505234677,0.557793666199216
"18",1987,"AUS",26.56,54.20537,15933.60216,5205.3778,NA,16.314778,0.384949647,76,0.598930481,63.84893,319.059064119659,0.0312732108611611,-0.0502441887655318,1.46992899401734,0.0928759443644461,-472.299249162765,-14,0.07486631,3.637811278,7.805714815,48.96719473,3.350517273,28.585,417436.25,0.0842133901972141,NA,8.488745981,0.0610965147703749,0.542244725034754
"19",1988,"AUS",33.17,57.6298,16935.98351,5529.401263,NA,16.585905,0.178560511,103,0.46875,70.14117,333.379532982976,0.063175106082663,0.0985488715315981,1.59169649797979,8.28390381154744,-222.296469034308,27,-0.130180481,4.614831634,8.334381166,56.21944183,3.370583296,28.234,442874,0.0609380474264034,NA,7.231772377,0.0759635646622137,0.538170994555169
"20",1989,"AUS",37.14,62.15322,17678.36398,NA,NA,16.849253,0.096631945,102,0.473958333,76.28049,NA,0.0784909890369218,0.0875280523549863,1.6607566861778,4.33877867330014,72.1551222248404,-1,0.00520833300000001,3.690045822,8.132559417,56.41692371,3.39076972,27.956,458443.03125,0.035154538875617,NA,7.559425097,0.0552225243326569,0.526385881644786
"21",1990,"AUS",39.71,64.45168,17568.32446,6176.634719,39073,17.096869,0.127700538,97,0.494736842,75.93516,361.272857562399,0.036980545818865,-0.00452710778339264,1.53543961673942,-7.54578141887789,-15.894008833755,-5,0.020778509,2.92182862,7.200181833,53.45231774,3.411076784,28.042,459148.71875,0.00153931339751388,NA,7.272260054,0.0589100445627229,0.530274628095857
"22",1991,"AUS",41.81,65.46785,17926.09009,NA,38864,17.325818,0.265169152,87,0.54973822,73.3968,NA,0.0157663849879476,-0.0334279930403781,1.55978944148271,1.58585361989018,-83.6158261300759,-10,0.055001378,1.445159952,6.806498261,51.80639341,3.423622847,26.601,459646.71875,0.00108461589821217,NA,3.222679913,0.0394838694091728,0.529583385444145
"23",1992,"AUS",42.7,65.80389,18937.50055,7492.037405,39626,17.538387,0.147292972,112,0.473933649,65.9214,427.179386850113,0.00513290111100329,-0.101849126937414,1.50279089738085,-3.65424605308789,437.60919237772,25,-0.075804571,1.791136171,7.123544938,49.6670438,3.436215162,26.065,478489.28125,0.0409935755687367,NA,0.985915493,0.0354120631556196,0.496667811507989
"24",1993,"AUS",42.58,65.82143,19929.78137,NA,40003,17.738428,0.375096873,98,0.548837209,59.65326,NA,0.000266549591521276,-0.0950850558392267,1.51772761458701,0.993931839232692,-157.309464901199,-14,0.07490356,1.563486513,7.380907867,48.27334003,3.448853731,26.521,496492.75,0.0376256469172474,NA,1.813110181,0.0407360864640047,0.453597069988301
"25",1994,"AUS",47.39,67.2112,21134.14664,8351.390017,40295,17.932214,0.392350473,93,0.574074074,63.55577,465.719961684597,0.0211142480496094,0.0654198949059951,1.49117065864495,-1.74978406446696,20.7896447769349,-5,0.025236865,3.022676127,7.980116263,49.85367571,3.461538792,27.419,520231.0625,0.0478120022900637,NA,1.894977169,0.0475358737953816,0.416858555120327
"26",1995,"AUS",53.12,68.80643,22098.57288,NA,40115,18.12477,0.432455481,93,0.570093458,62.32064,NA,0.0237345859023496,-0.0194337980642828,1.39751593646985,-6.28061728764198,40.0070239970372,0,-0.00398061599999999,3.030997648,7.991713916,51.4427478,3.474270582,28.178,549039.4375,0.0553761147240223,53.4573112075982,4.638135783,0.0576083665357106,0.44659733592214
