iso2c,country,year,NE.EXP.GNFS.ZS,SL.UEM.TOTL.ZS
AT,Austria,2012,53.9736761965302,4.86499977111816
AT,Austria,2013,53.4412932967224,5.33500003814697
AT,Austria,2014,53.3865790462424,5.61999988555908
DE,Germany,2012,45.982539717068,5.37900018692017
DE,Germany,2013,45.3978784533514,5.23099994659424
DE,Germany,2014,45.6448160512355,4.98099994659424
