country,BIP,year
Austria,37941.0428598863,2018
Austria,37140.7921236397,2017
Austria,36469.3874140576,2016
Austria,36129.0275179085,2015
Austria,36123.4261713413,2014
Germany,35866.0038533222,2018
Germany,35477.8921209845,2017
Germany,34858.7875779753,2016
Germany,34370.6423320708,2015
Germany,34076.8953786312,2014
