iso3c,year,kof_trade_df,kof_trade_dj,trade_total_GDP,gvnt_cons,gvtn_expense
AUT,1965,,,48.2393149536368,13.4279181998776,
AUT,1966,,,48.9255425298678,13.7293662742236,
AUT,1967,,,48.3085412151414,14.6301801027666,
AUT,1968,,,49.013881174705,14.8230286357765,
AUT,1969,,,52.7252596626323,15.1459129274442,
AUT,1970,49.7418479919434,64.1869201660156,54.86039174788,14.3153976502541,
AUT,1971,49.5560340881348,64.1869201660156,54.3804711459358,14.393009971543,
AUT,1972,49.5560340881348,65.6987228393555,54.2960192212936,14.2445723828885,25.915402431263
AUT,1973,49.7418479919434,66.536865234375,54.4568199360651,14.6867458207583,27.6120905924962
AUT,1974,53.4146423339844,67.542106628418,59.5677317780406,15.3485413051329,27.9038754307352
AUT,1975,50.7183609008789,69.2175064086914,56.5991341566834,16.7899787187875,31.1084772401006
AUT,1976,53.0074310302734,70.6245574951172,59.9162816321086,17.1817690787957,31.6191570203661
AUT,1977,51.8213844299316,71.361442565918,60.2775956821567,17.0109080701459,31.4136612506303
AUT,1978,50.6590538024902,73.1035766601563,59.6679877608595,17.6562140182671,33.8517496022245
AUT,1979,51.9953346252441,73.9071884155274,63.3172191333532,17.5220947153094,33.322423459081
AUT,1980,53.5727996826172,75.6552047729492,66.8250060486283,17.5341448172113,33.4739417524882
AUT,1981,54.7459716796875,75.9036560058594,68.396550301208,17.9647044912803,34.5654438737343
AUT,1982,53.1940231323242,76.150390625,64.1171139234959,18.3466777107019,34.9966352092361
AUT,1983,52.0510406494141,76.0558013916016,62.4721849872476,18.346321668112,35.4160012481996
AUT,1984,54.621711730957,76.2568130493164,66.5750060351522,18.388731219501,35.7051300943499
AUT,1985,56.2324256896973,76.7561264038086,70.0831614762495,18.5778439827762,35.5729953121721
AUT,1986,52.1666221618652,76.6904296875,64.014597212162,18.7854384188693,36.2747019751862
AUT,1987,51.0261192321777,77.0576705932617,62.8537227269269,18.7520822072581,36.855583666469
AUT,1988,52.1593360900879,76.8975830078125,66.562550344062,18.5135055835517,37.1699418693453
AUT,1989,53.8844375610352,77.0522842407227,70.5383587945509,18.1859860727517,35.7534635722505
AUT,1990,54.7153282165527,77.5610275268555,71.4883694819226,17.9756735956968,35.5912700666184
AUT,1991,53.8621635437012,78.1961135864258,70.0484058928522,18.1577959151049,36.0426099357778
AUT,1992,52.3556823730469,79.2088775634766,67.6301674653756,18.489911916127,36.697148990262
AUT,1993,51.3755035400391,80.4632949829102,63.2650504915528,19.3004156683679,38.7564718107163
AUT,1994,53.1042213439941,81.3824005126953,65.9870933378821,19.4443663728491,38.6749163266011
AUT,1995,53.6836776733399,87.4657669067383,68.25660110272,19.5896579303121,48.7183958892184
AUT,1996,55.2402076721192,90.7535705566406,70.0836711206827,19.5657433008979,48.7386551439875
AUT,1997,58.5964851379395,93.4099884033203,74.8676902155828,19.6007911245516,47.5228026402187
AUT,1998,59.2105903625488,94.2550659179688,76.9271493915785,19.5530546720414,47.2509965921999
AUT,1999,59.9049453735352,95.266845703125,78.2601403439716,19.8436668661919,47.1087352314622
AUT,2000,63.0592193603516,97.5695114135742,85.3604956179232,19.2197165554154,46.2637884393769
AUT,2001,63.8212547302246,96.0961380004883,87.5366647639352,18.9761681528468,46.6155776930225
AUT,2002,63.8287391662598,96.036003112793,86.9481679996606,18.8386965201083,45.9729061942825
AUT,2003,64.0542907714844,97.275390625,86.3873824162825,18.979639912386,46.0361198617491
AUT,2004,65.1422576904297,95.7478942871094,90.7923456929297,18.8913590714454,48.6070087732423
AUT,2005,65.8863983154297,94.4919052124023,94.0338056833054,19.3462734216739,45.9123747815754
AUT,2006,66.7197189331055,91.4355621337891,98.0883112053436,19.2582902718553,45.188096157763
AUT,2007,67.8105239868164,91.7853698730469,100.733254061926,18.7447920696102,43.9779149065683
AUT,2008,68.7034301757813,91.3854064941406,102.073682731706,19.2721309580265,44.5742404112228
AUT,2009,63.1873970031738,91.8862762451172,87.0622309742796,20.6842134754264,47.848356650487
AUT,2010,66.5123825073242,91.0931015014648,99.0197962369563,20.4925476679965,46.4268063334548
AUT,2011,68.9356155395508,89.496711730957,105.102788629725,19.89656808887,45.5076838109706
AUT,2012,69.1437072753906,88.9093246459961,105.152177427838,19.8606923693557,46.1450516838
AUT,2013,70.3340911865234,87.5748596191406,104.066414086373,19.9159427520344,46.6216192018652
AUT,2014,70.4948577880859,93.3559112548828,103.503535251069,19.8028420386289,47.5011846905473
AUT,2015,69.9727630615234,92.4937438964844,102.430054670253,19.7623146628968,46.2789576356442
AUT,2016,69.2274551391602,92.4522399902344,101.00202508107,19.7245664052466,45.1839908303893
AUT,2017,,,104.375795166018,19.5568430175175,44.2291422281375
AUT,2018,,,,19.188882639976,
AUT,2019,,,,,
AUT,2020,,,,,
BEL,1965,,,83.9900692062356,15.9482711472137,
BEL,1966,,,88.0357457342498,16.3740908272683,
BEL,1967,,,84.9542938596995,16.7980417392359,
BEL,1968,,,89.2725658349821,16.959674756981,
BEL,1969,,,96.4912899323802,16.9944350313235,
BEL,1970,69.6620864868164,78.622917175293,87.0758025041546,16.6565404687201,
BEL,1971,69.0690612792969,78.8755416870117,84.9490549800667,17.6321606797242,
BEL,1972,68.6855773925781,79.1281661987305,84.5787180649479,18.1437258458672,
BEL,1973,70.8006896972656,80.1386871337891,93.4462479046126,18.4221142743291,
BEL,1974,73.1253433227539,80.3913116455078,104.495768978865,18.7818722435516,
