OLS,FD,LSDV,FE,fe_rel
3.8778494727302,4.07422037103208,4.03726529231754,4.03726529231754,0
4.04057770750695,4.12940048004865,4.09423619749546,4.09423619749546,0
4.06525851448341,3.96168954194047,4.01316287375162,4.01316287375162,0
4.04991570568754,4.04515084651908,4.06367154062565,4.06367154062565,0
4.02843756158087,4.05597956033684,4.0842147315088,4.0842147315088,0
4.09403159717152,4.01264554233977,4.02023296905944,4.02023296905944,0
3.86788715192037,3.9120511953053,3.91566943614222,3.91566943614222,0
3.94221297203436,3.9315036097225,3.92143224107301,3.92143224107301,0
4.06164327171374,3.95189646327583,3.95114108513619,3.95114108513619,0
4.2285049678441,4.25862420574555,4.1966323494146,4.1966323494146,0
3.96445519576885,3.89097285440886,3.89683952934651,3.89683952934651,0
3.9575458699945,3.95037001558109,3.9627699423854,3.9627699423854,0
4.0897858517514,3.98107909241309,4.03921201370008,4.03921201370009,0
3.85675514938509,3.89444267522007,3.87638904219726,3.87638904219726,0
3.93751646782999,4.04230834849431,3.97624665968468,3.97624665968468,0
3.97296158866755,3.94861237340734,3.99318785374461,3.99318785374461,0
3.98583925631415,4.02734864263547,4.00253580324524,4.00253580324523,0
4.0652270388567,4.07462227418408,4.09139084603751,4.09139084603751,0
4.04989231969231,4.09089337118981,4.0757809938565,4.0757809938565,0
3.98675861961528,4.035123707937,4.01321644070481,4.01321644070481,0
3.9422573458013,3.96213058268482,3.91174220611306,3.91174220611305,0
3.9615476698883,4.01582082428238,4.02764152483343,4.02764152483343,0
4.18660567148233,4.07553378775759,4.0372710968126,4.0372710968126,0
4.17275301743188,4.10591413305524,4.09027323435315,4.09027323435315,0
3.75793632801794,3.90122551293276,3.85572311249976,3.85572311249976,0
3.91670787959477,4.03774084699079,3.98000365590158,3.98000365590158,0
4.03193684370824,4.07588877213873,4.0169353298084,4.0169353298084,0
3.85510986815546,3.88479620731285,3.88971921743552,3.88971921743551,0
3.88741026661097,3.97476394020045,3.91150304959156,3.91150304959156,0
4.02463377437105,4.0470354004012,4.03238850747801,4.03238850747801,0
4.00147733485345,4.02239013465108,4.02088346822809,4.02088346822809,0
3.96980202446873,4.16101692991331,4.00275666444862,4.00275666444862,0
3.95047781167372,3.86193330822056,3.95436401468596,3.95436401468596,0
4.0615162149527,3.95199273637742,3.98881041757659,3.98881041757659,0
4.160980252745,4.11813958366075,4.08756265375186,4.08756265375186,0
3.89025592811067,3.86167915787941,3.87429416096628,3.87429416096628,0
4.16896470931161,4.09580074380934,4.07567751445422,4.07567751445422,0
3.99244223898301,3.86780485520772,3.92215670609539,3.92215670609539,0
3.79264939540158,3.82706990918133,3.83938773549621,3.83938773549621,0
4.03022034238619,4.00358138913351,3.99229802196012,3.99229802196012,0
3.97860712746892,4.13901635830827,4.02786828967786,4.02786828967786,0
4.06857655581561,4.13047791051213,4.08324620403851,4.08324620403851,0
4.13144305669943,4.0472400115857,4.06806596749996,4.06806596749996,0
4.06887620755067,3.99971357620614,4.00795102134057,4.00795102134057,0
3.93010217055151,3.97572550334128,3.99582079827359,3.99582079827359,0
3.90406011530239,3.87238238171516,3.88517159406053,3.88517159406053,0
4.01216414345191,4.07251713299296,4.02066261700646,4.02066261700646,0
4.0588597540479,4.08552397676861,4.02351754801208,4.02351754801208,0
3.83663457864922,3.87870244042124,3.89682549837605,3.89682549837605,0
4.01294071466598,4.03600578136835,4.02701665436884,4.02701665436884,0
4.01397278046063,4.0642824281631,4.09191585085386,4.09191585085386,0
3.9011633508464,3.91405968556641,3.96127643450279,3.96127643450279,0
4.02584529337807,4.06940422141204,4.0870385889726,4.0870385889726,0
3.94008225663789,3.98264987161668,3.96395572407627,3.96395572407627,0
3.97435570363025,4.04510903544507,4.03573492955053,4.03573492955053,0
4.07247046914597,4.08834537922887,4.06026509237209,4.06026509237209,0
4.03666536793261,4.0203079377205,4.07245106355372,4.07245106355372,0
4.03308212028737,3.97424111232855,3.95200532564169,3.95200532564169,0
3.89265944988001,3.9789593971436,3.99375242271787,3.99375242271787,0
4.01376673225212,3.94246099913322,3.9721607489424,3.9721607489424,0
3.97832650161085,4.07894306262297,4.04059094711525,4.04059094711525,0
4.0056538511276,3.95173390486394,3.97204081576359,3.97204081576359,0
3.91539227003054,3.84528951517326,3.88784809956435,3.88784809956435,0
4.16770803359402,4.05603023266713,4.07844208723623,4.07844208723622,0
4.06372783937728,3.96158323037611,4.05480711678536,4.05480711678536,0
4.03480634203038,4.06995522531179,4.03427755249565,4.03427755249565,0
3.9122267134446,3.9492236722249,3.97620945132816,3.97620945132816,0
4.06963733567126,3.94582671044552,3.98178940310955,3.98178940310955,0
3.93108247768392,4.11057958741858,4.0159945519342,4.01599455193419,0
4.05136078336353,3.95165199821661,3.98610735400814,3.98610735400813,0
3.93588389809204,3.95485809892726,3.96814966372917,3.96814966372917,0
4.0451511916632,4.03819233472353,4.02305947424196,4.02305947424196,0
3.9326483540663,4.00550477537969,3.95187225287018,3.95187225287018,0
4.00992685759628,4.00811835476638,4.03860376800455,4.03860376800455,0
4.13881832637505,3.99511032341301,4.01517705770249,4.01517705770249,0
4.19225836966156,4.11024018181329,4.13624957715199,4.136249577152,0
3.95421843528016,3.79902329685959,3.90815637896368,3.90815637896368,0
4.07477490420235,4.19390054715934,4.12956530635618,4.12956530635618,0
3.85456511033393,3.97628750505754,3.91072001848984,3.91072001848984,0
3.9409734928006,3.96744944574406,3.98991702740261,3.98991702740261,0
4.04691004278907,4.04404974659555,3.97316637634662,3.97316637634662,0
4.10725737732962,4.08444648687089,4.05667748408522,4.05667748408522,0
3.83895514615936,3.995152541728,4.00021810768029,4.00021810768029,0
3.93993826233894,4.05717556647488,4.01756161852609,4.0175616185261,0
4.01506767445017,4.01031677685774,4.0333934933603,4.0333934933603,0
3.98615666210356,3.96621668021044,4.0445002620155,4.0445002620155,0
3.9297874135547,3.93890087541703,3.93674345119845,3.93674345119845,0
3.96007451853808,3.88889120391387,3.95800030021713,3.95800030021713,0
4.13540340690363,4.03884073715655,4.08057864293395,4.08057864293395,0
3.9637056247582,4.05790810929695,4.03345598278833,4.03345598278833,0
3.96035195034683,3.94067228055898,3.92466925951217,3.92466925951217,0
3.81607416617373,4.08640771821138,4.03790114331971,4.03790114331971,0
3.9680406547478,4.0674288849343,4.06898209281757,4.06898209281756,0
4.00052117926385,4.05578173662747,4.03718682356479,4.03718682356479,0
4.01829805327353,3.89927335084204,3.94787951962508,3.94787951962508,0
3.85522221140557,4.10710764509081,3.97776016866245,3.97776016866245,0
3.87961176855525,3.79374206310547,3.82126675701476,3.82126675701476,0
3.89531935472589,4.05509920374651,4.02578802834023,4.02578802834023,0
3.95858736335769,3.95195849011098,3.98548045857809,3.98548045857809,0
3.96147217935445,3.88152504800023,3.87009767881987,3.87009767881987,0
4.16029270676144,3.99515448934351,4.03662620630963,4.03662620630963,0
4.06193657046488,3.97564544083619,4.0116440020508,4.0116440020508,0
3.93857421672314,4.15490628169136,4.10700071562024,4.10700071562024,0
4.05598998984501,4.12027387242222,4.05148036602738,4.05148036602738,0
3.93741620432443,3.9520673143812,3.94302329462422,3.94302329462422,0
4.01528239014842,3.91732464307166,3.87741786494895,3.87741786494895,0
3.92707424237888,3.98117045973536,3.93422753795783,3.93422753795783,0
4.06701954415731,4.04823896752668,4.07939799380352,4.07939799380352,0
3.89873872200388,4.01127201619324,3.98166147181593,3.98166147181594,0
3.92234155007564,3.86195927679549,3.93856124437861,3.93856124437861,0
3.89366909596805,3.97041882283105,4.0133515504875,4.0133515504875,0
4.01229256367412,4.08520437487643,4.03483195127793,4.03483195127794,0
4.06248859840543,4.10517055081331,4.04353972307713,4.04353972307713,0
3.93978077737177,4.0312221284783,4.01225724185838,4.01225724185838,0
4.0804986174592,3.94620682973911,4.01059505410381,4.01059505410381,0
3.95807088043425,3.97673754181026,3.97193140730542,3.97193140730542,0
3.94967347240554,4.01762053682375,4.02140670844251,4.0214067084425,0
4.0544612895873,4.04727212230627,4.04640126078309,4.04640126078309,0
3.96960511119123,4.01651785379476,3.94029825877907,3.94029825877908,0
3.81668000674554,3.98844784028169,3.94273441762639,3.94273441762639,0
4.10783192209318,4.08486193262451,4.13925115695945,4.13925115695945,0
